,background,body,face,item,hair style
56,under_the_sea,pose3,sunglasses,none,crown
57,sky_blue,pose3,anger,gold_watch,wasabi
58,pink,pose3,basic,phone,crown
59,under_the_sea,pose3,anger,apple_watch,stick
60,pink,pose3,sunglasses,none,soy_sauce
61,under_the_sea,pose3,absurd,phone,soy_sauce
62,beach,pose3,laugh,gold_watch,crown
63,sky_blue,pose3,surprised,gold_watch,wasabi
64,bling,pose3,break,phone,mayonnaise
65,beach,pose3,anger,none,mayonnaise
66,bling,pose3,stare,fork,soy_sauce
67,pink,pose3,glasses,phone,wasabi
68,pink,pose3,surprised,gold_watch,mayonnaise
69,bling,pose3,anger,phone,stick
70,pink,pose3,laugh,phone,wasabi
71,pink,pose3,absurd,gold_watch,stick
72,mint,pose3,glasses,apple_watch,wasabi
73,sky_blue,pose3,basic,phone,ketchup
74,under_the_sea,pose3,anger,gold_watch,stick
75,pink,pose3,sunglasses,apple_watch,mustard
76,beach,pose3,laugh,none,pasture
77,beach,pose3,break,fork,mayonnaise
78,bling,pose3,surprised,fork,wasabi
79,bling,pose3,stare,fork,wasabi
80,beach,pose3,sunglasses,apple_watch,stick
81,mint,pose3,break,phone,mayonnaise
82,bling,pose3,laugh,none,mustard
83,beach,pose3,glasses,gold_watch,pasture
84,under_the_sea,pose3,laugh,gold_watch,mustard
85,under_the_sea,pose3,glasses,none,ketchup
86,under_the_sea,pose3,break,fork,stick
87,sky_blue,pose3,dissatisfaction,gold_watch,crown
88,bling,pose3,glasses,phone,mustard
89,beach,pose3,absurd,gold_watch,crown
90,bling,pose3,dissatisfaction,apple_watch,crown
91,bling,pose3,basic,apple_watch,crown
92,bling,pose3,absurd,fork,stick
93,pink,pose3,anger,none,wasabi
94,mint,pose3,surprised,apple_watch,ketchup
95,mint,pose3,dissatisfaction,none,ketchup
96,under_the_sea,pose3,sunglasses,none,soy_sauce
97,sky_blue,pose3,glasses,apple_watch,mustard
98,sky_blue,pose3,glasses,apple_watch,soy_sauce
99,bling,pose3,stare,apple_watch,crown
100,sky_blue,pose3,dissatisfaction,fork,mayonnaise
101,mint,pose3,surprised,fork,mustard
102,beach,pose3,glasses,phone,mayonnaise
103,pink,pose3,sunglasses,none,stick
104,sky_blue,pose3,absurd,fork,wasabi
105,pink,pose3,absurd,phone,crown
106,pink,pose3,surprised,gold_watch,pasture
107,under_the_sea,pose3,basic,gold_watch,mustard
108,beach,pose3,absurd,none,crown
109,pink,pose3,dissatisfaction,gold_watch,mustard
110,pink,pose3,stare,none,wasabi
111,beach,pose3,sunglasses,apple_watch,mayonnaise
112,mint,pose3,glasses,gold_watch,mayonnaise
113,under_the_sea,pose3,sunglasses,fork,mustard
114,pink,pose3,surprised,none,mustard
115,sky_blue,pose3,surprised,gold_watch,stick
116,sky_blue,pose3,dissatisfaction,apple_watch,pasture
117,pink,pose3,basic,fork,mayonnaise
118,sky_blue,pose3,sunglasses,apple_watch,wasabi
119,beach,pose3,laugh,apple_watch,soy_sauce
120,bling,pose3,sunglasses,gold_watch,ketchup
121,beach,pose3,glasses,none,soy_sauce
122,under_the_sea,pose3,absurd,none,crown
123,beach,pose3,laugh,gold_watch,soy_sauce
124,pink,pose3,anger,fork,stick
125,beach,pose3,laugh,fork,crown
126,bling,pose3,basic,gold_watch,wasabi
127,pink,pose3,glasses,apple_watch,mustard
128,mint,pose3,anger,fork,crown
129,under_the_sea,pose3,anger,none,soy_sauce
130,under_the_sea,pose3,dissatisfaction,apple_watch,wasabi
131,mint,pose3,surprised,phone,stick
132,under_the_sea,pose3,laugh,apple_watch,mustard
133,pink,pose3,laugh,gold_watch,crown
134,pink,pose3,absurd,fork,pasture
135,bling,pose3,sunglasses,fork,crown
136,mint,pose3,basic,gold_watch,wasabi
137,under_the_sea,pose3,stare,fork,wasabi
138,beach,pose3,dissatisfaction,gold_watch,wasabi
139,beach,pose3,break,phone,pasture
140,under_the_sea,pose3,stare,fork,pasture
141,under_the_sea,pose3,glasses,none,mustard
142,pink,pose3,absurd,phone,soy_sauce
143,sky_blue,pose3,break,apple_watch,ketchup
144,bling,pose3,dissatisfaction,fork,wasabi
145,under_the_sea,pose3,anger,phone,wasabi
146,pink,pose3,sunglasses,none,crown
147,beach,pose3,basic,gold_watch,soy_sauce
148,mint,pose3,absurd,none,soy_sauce
149,sky_blue,pose3,absurd,gold_watch,wasabi
150,mint,pose3,dissatisfaction,none,stick
151,beach,pose3,basic,gold_watch,crown
152,sky_blue,pose3,surprised,gold_watch,mayonnaise
153,beach,pose3,glasses,none,crown
154,bling,pose3,anger,apple_watch,crown
155,beach,pose3,stare,fork,stick
156,pink,pose3,sunglasses,phone,mustard
157,pink,pose3,stare,gold_watch,wasabi
158,bling,pose3,stare,none,mayonnaise
159,bling,pose3,basic,fork,mustard
160,sky_blue,pose3,stare,phone,mustard
161,under_the_sea,pose3,glasses,fork,crown
162,mint,pose3,surprised,gold_watch,soy_sauce
163,beach,pose3,anger,apple_watch,wasabi
164,sky_blue,pose3,glasses,gold_watch,stick
165,mint,pose3,basic,phone,stick
166,bling,pose3,stare,none,stick
167,beach,pose3,glasses,gold_watch,soy_sauce
168,bling,pose3,laugh,phone,crown
169,mint,pose3,absurd,fork,ketchup
170,mint,pose3,surprised,gold_watch,wasabi
171,mint,pose3,absurd,apple_watch,pasture
172,bling,pose3,surprised,gold_watch,soy_sauce
173,sky_blue,pose3,anger,fork,pasture
174,pink,pose3,absurd,phone,mustard
175,mint,pose3,surprised,phone,mustard
176,mint,pose3,dissatisfaction,phone,crown
177,beach,pose3,glasses,gold_watch,crown
178,bling,pose3,anger,none,stick
179,bling,pose3,dissatisfaction,fork,ketchup
180,beach,pose3,anger,fork,soy_sauce
181,beach,pose3,glasses,gold_watch,ketchup
182,beach,pose3,glasses,phone,mustard
183,sky_blue,pose3,glasses,gold_watch,crown
184,pink,pose3,absurd,fork,mayonnaise
185,bling,pose3,dissatisfaction,fork,crown
186,sky_blue,pose3,laugh,phone,mayonnaise
187,sky_blue,pose3,laugh,fork,pasture
188,mint,pose3,break,fork,pasture
189,sky_blue,pose3,surprised,apple_watch,wasabi
190,sky_blue,pose3,stare,none,wasabi
191,sky_blue,pose3,break,phone,mustard
192,beach,pose3,basic,apple_watch,wasabi
193,sky_blue,pose3,dissatisfaction,phone,mayonnaise
194,pink,pose3,stare,apple_watch,ketchup
195,mint,pose3,sunglasses,none,pasture
196,beach,pose3,break,fork,stick
197,pink,pose3,break,gold_watch,stick
198,under_the_sea,pose3,absurd,phone,crown
199,beach,pose3,basic,fork,mustard
200,pink,pose3,absurd,none,pasture
201,sky_blue,pose3,anger,none,mustard
202,pink,pose3,dissatisfaction,none,mayonnaise
203,beach,pose3,sunglasses,phone,crown
204,beach,pose3,dissatisfaction,none,crown
205,pink,pose3,anger,phone,ketchup
206,under_the_sea,pose3,surprised,gold_watch,crown
207,bling,pose3,laugh,none,wasabi
208,bling,pose3,sunglasses,apple_watch,wasabi
209,mint,pose3,anger,none,mayonnaise
210,sky_blue,pose3,absurd,gold_watch,ketchup
211,mint,pose3,surprised,apple_watch,crown
212,sky_blue,pose3,dissatisfaction,none,wasabi
213,bling,pose3,surprised,apple_watch,wasabi
214,sky_blue,pose3,basic,fork,pasture
215,pink,pose3,stare,fork,mayonnaise
216,mint,pose3,glasses,phone,wasabi
217,sky_blue,pose3,laugh,none,mustard
218,under_the_sea,pose3,glasses,gold_watch,pasture
219,pink,pose3,laugh,phone,mustard
220,mint,pose3,surprised,fork,stick
221,under_the_sea,pose3,break,gold_watch,mayonnaise
222,beach,pose3,dissatisfaction,gold_watch,crown
223,sky_blue,pose3,break,gold_watch,wasabi
224,beach,pose3,anger,fork,mustard
225,mint,pose3,basic,gold_watch,crown
226,mint,pose3,dissatisfaction,apple_watch,ketchup
227,beach,pose3,sunglasses,none,pasture
228,bling,pose3,break,none,soy_sauce
229,pink,pose3,absurd,gold_watch,pasture
230,under_the_sea,pose3,absurd,phone,stick
231,bling,pose3,anger,fork,pasture
232,bling,pose3,laugh,fork,mayonnaise
233,bling,pose3,dissatisfaction,apple_watch,soy_sauce
234,pink,pose3,stare,fork,ketchup
235,sky_blue,pose3,absurd,none,mayonnaise
236,sky_blue,pose3,sunglasses,fork,pasture
237,mint,pose3,glasses,phone,crown
238,under_the_sea,pose3,anger,apple_watch,soy_sauce
239,sky_blue,pose3,glasses,gold_watch,mustard
240,sky_blue,pose3,anger,fork,ketchup
241,under_the_sea,pose3,stare,apple_watch,wasabi
242,mint,pose3,glasses,none,ketchup
243,mint,pose3,break,gold_watch,mayonnaise
244,sky_blue,pose3,surprised,none,stick
245,sky_blue,pose3,glasses,phone,mayonnaise
246,bling,pose3,stare,phone,soy_sauce
247,sky_blue,pose3,glasses,fork,mustard
248,pink,pose3,glasses,fork,mayonnaise
249,beach,pose3,stare,gold_watch,crown
250,sky_blue,pose3,absurd,phone,crown
251,under_the_sea,pose3,absurd,fork,mayonnaise
252,pink,pose3,anger,none,ketchup
253,mint,pose3,laugh,none,soy_sauce
254,bling,pose3,anger,gold_watch,stick
255,under_the_sea,pose3,stare,apple_watch,mayonnaise
256,beach,pose3,surprised,phone,mayonnaise
257,sky_blue,pose3,anger,apple_watch,soy_sauce
258,mint,pose3,sunglasses,phone,pasture
259,under_the_sea,pose3,surprised,none,mayonnaise
260,sky_blue,pose3,glasses,gold_watch,ketchup
261,sky_blue,pose3,glasses,gold_watch,soy_sauce
262,mint,pose3,break,phone,pasture
263,sky_blue,pose3,sunglasses,gold_watch,soy_sauce
264,mint,pose3,basic,gold_watch,soy_sauce
265,bling,pose3,sunglasses,phone,mayonnaise
266,mint,pose3,break,apple_watch,stick
267,sky_blue,pose3,dissatisfaction,fork,wasabi
268,pink,pose3,dissatisfaction,phone,mayonnaise
269,under_the_sea,pose3,dissatisfaction,none,wasabi
270,under_the_sea,pose3,surprised,none,stick
271,sky_blue,pose3,glasses,phone,soy_sauce
272,under_the_sea,pose3,laugh,apple_watch,wasabi
273,beach,pose3,break,gold_watch,wasabi
274,pink,pose3,absurd,phone,wasabi
275,beach,pose3,break,apple_watch,pasture
276,mint,pose3,dissatisfaction,none,pasture
277,pink,pose3,surprised,none,pasture
278,beach,pose3,sunglasses,gold_watch,stick
279,mint,pose3,basic,none,stick
280,mint,pose3,surprised,fork,crown
281,mint,pose3,break,fork,mustard
282,beach,pose3,dissatisfaction,gold_watch,pasture
283,mint,pose3,surprised,fork,soy_sauce
284,beach,pose3,surprised,fork,stick
285,mint,pose3,stare,none,pasture
286,beach,pose3,absurd,none,pasture
287,mint,pose3,surprised,none,mayonnaise
288,under_the_sea,pose3,anger,fork,wasabi
289,mint,pose3,laugh,gold_watch,mustard
290,mint,pose3,laugh,gold_watch,mayonnaise
291,mint,pose3,laugh,none,stick
292,beach,pose3,basic,phone,mustard
293,pink,pose3,absurd,apple_watch,wasabi
294,mint,pose3,basic,phone,wasabi
295,under_the_sea,pose3,laugh,fork,mayonnaise
296,mint,pose3,stare,phone,pasture
297,sky_blue,pose3,laugh,apple_watch,ketchup
298,under_the_sea,pose3,glasses,gold_watch,wasabi
299,under_the_sea,pose3,dissatisfaction,phone,crown
300,beach,pose3,basic,none,pasture
301,bling,pose3,basic,none,mustard
302,bling,pose3,dissatisfaction,none,mustard
303,bling,pose3,surprised,phone,crown
304,bling,pose3,absurd,fork,ketchup
305,beach,pose3,glasses,phone,soy_sauce
306,pink,pose3,basic,fork,wasabi
307,pink,pose3,anger,none,mustard
308,sky_blue,pose3,surprised,apple_watch,ketchup
309,sky_blue,pose3,surprised,none,mustard
310,under_the_sea,pose3,stare,phone,stick
311,bling,pose3,sunglasses,gold_watch,mustard
312,mint,pose3,absurd,apple_watch,mayonnaise
313,beach,pose3,basic,none,soy_sauce
314,sky_blue,pose3,glasses,none,crown
315,sky_blue,pose3,glasses,gold_watch,pasture
316,bling,pose3,dissatisfaction,gold_watch,crown
317,bling,pose3,sunglasses,fork,stick
318,beach,pose3,anger,phone,stick
319,pink,pose3,stare,phone,ketchup
320,pink,pose3,break,gold_watch,crown
321,beach,pose3,basic,fork,stick
322,under_the_sea,pose3,glasses,apple_watch,soy_sauce
323,beach,pose3,surprised,apple_watch,pasture
324,sky_blue,pose3,surprised,gold_watch,pasture
325,beach,pose3,stare,gold_watch,wasabi
326,under_the_sea,pose3,stare,apple_watch,soy_sauce
327,under_the_sea,pose3,break,fork,crown
328,under_the_sea,pose3,break,none,ketchup
329,beach,pose3,stare,phone,crown
330,pink,pose3,glasses,apple_watch,wasabi
331,pink,pose3,laugh,phone,stick
332,beach,pose3,basic,none,stick
333,bling,pose3,basic,apple_watch,pasture
334,pink,pose3,stare,fork,wasabi
335,sky_blue,pose3,stare,phone,ketchup
336,mint,pose3,laugh,none,ketchup
337,mint,pose3,laugh,gold_watch,wasabi
338,mint,pose3,stare,phone,stick
339,bling,pose3,sunglasses,gold_watch,pasture
340,bling,pose3,anger,gold_watch,mustard
341,beach,pose3,anger,none,stick
342,mint,pose3,sunglasses,apple_watch,crown
343,beach,pose3,laugh,none,mustard
344,under_the_sea,pose3,glasses,phone,mustard
345,sky_blue,pose3,sunglasses,phone,pasture
346,bling,pose3,dissatisfaction,apple_watch,mayonnaise
347,pink,pose3,glasses,gold_watch,soy_sauce
348,pink,pose3,anger,gold_watch,wasabi
349,bling,pose3,basic,phone,mustard
350,sky_blue,pose3,absurd,none,soy_sauce
351,mint,pose3,absurd,phone,mustard
352,pink,pose3,sunglasses,gold_watch,crown
353,bling,pose3,absurd,none,soy_sauce
354,bling,pose3,break,phone,mustard
355,sky_blue,pose3,stare,none,soy_sauce
356,sky_blue,pose3,stare,phone,wasabi
357,mint,pose3,laugh,fork,crown
358,mint,pose3,absurd,none,ketchup
359,beach,pose3,dissatisfaction,phone,ketchup
360,sky_blue,pose3,dissatisfaction,gold_watch,stick
361,mint,pose3,stare,gold_watch,stick
362,pink,pose3,surprised,phone,mayonnaise
363,sky_blue,pose3,laugh,gold_watch,crown
364,bling,pose3,surprised,none,wasabi
365,mint,pose3,anger,apple_watch,wasabi
366,beach,pose3,sunglasses,apple_watch,crown
367,under_the_sea,pose3,absurd,apple_watch,mustard
368,beach,pose3,break,none,ketchup
369,beach,pose3,break,apple_watch,crown
370,bling,pose3,basic,gold_watch,stick
371,under_the_sea,pose3,basic,fork,pasture
372,under_the_sea,pose3,dissatisfaction,apple_watch,pasture
373,under_the_sea,pose3,laugh,fork,ketchup
374,under_the_sea,pose3,glasses,gold_watch,ketchup
375,sky_blue,pose3,absurd,phone,pasture
376,under_the_sea,pose3,absurd,apple_watch,ketchup
377,beach,pose3,sunglasses,phone,stick
378,pink,pose3,break,none,stick
379,beach,pose3,anger,fork,wasabi
380,pink,pose3,sunglasses,apple_watch,ketchup
381,under_the_sea,pose3,surprised,apple_watch,mayonnaise
382,bling,pose3,sunglasses,fork,ketchup
383,under_the_sea,pose3,break,none,mayonnaise
384,under_the_sea,pose3,anger,fork,mustard
385,under_the_sea,pose3,break,phone,soy_sauce
386,sky_blue,pose3,surprised,gold_watch,soy_sauce
387,bling,pose3,anger,gold_watch,pasture
388,pink,pose3,laugh,fork,ketchup
389,sky_blue,pose3,basic,fork,mustard
390,mint,pose3,dissatisfaction,phone,pasture
391,mint,pose3,anger,fork,wasabi
392,mint,pose3,anger,fork,soy_sauce
393,pink,pose3,sunglasses,none,mayonnaise
394,beach,pose3,absurd,fork,mustard
395,bling,pose3,absurd,apple_watch,stick
396,sky_blue,pose3,sunglasses,none,mayonnaise
397,bling,pose3,anger,phone,wasabi
398,beach,pose3,absurd,fork,wasabi
399,pink,pose3,dissatisfaction,phone,soy_sauce
400,mint,pose3,glasses,fork,pasture
401,beach,pose3,glasses,apple_watch,crown
402,pink,pose3,anger,fork,soy_sauce
403,under_the_sea,pose3,surprised,none,mustard
404,bling,pose3,absurd,gold_watch,crown
405,sky_blue,pose3,dissatisfaction,phone,crown
406,beach,pose3,sunglasses,fork,ketchup
407,beach,pose3,basic,apple_watch,soy_sauce
408,beach,pose3,break,phone,crown
409,mint,pose3,absurd,apple_watch,crown
410,mint,pose3,dissatisfaction,phone,mustard
411,pink,pose3,dissatisfaction,gold_watch,pasture
412,pink,pose3,anger,gold_watch,stick
413,under_the_sea,pose3,basic,gold_watch,ketchup
414,beach,pose3,laugh,gold_watch,mayonnaise
415,beach,pose3,absurd,none,mustard
416,bling,pose3,stare,apple_watch,mayonnaise
417,bling,pose3,basic,apple_watch,stick
418,sky_blue,pose3,dissatisfaction,apple_watch,crown
419,mint,pose3,glasses,apple_watch,soy_sauce
420,bling,pose3,surprised,none,mayonnaise
421,bling,pose3,glasses,apple_watch,mayonnaise
422,sky_blue,pose3,anger,gold_watch,mayonnaise
423,mint,pose3,sunglasses,none,mustard
424,pink,pose3,sunglasses,none,pasture
425,under_the_sea,pose3,anger,gold_watch,ketchup
426,pink,pose3,basic,none,crown
427,under_the_sea,pose3,laugh,fork,soy_sauce
428,pink,pose3,laugh,apple_watch,mayonnaise
429,beach,pose3,laugh,fork,ketchup
430,pink,pose3,basic,gold_watch,ketchup
431,sky_blue,pose3,glasses,apple_watch,pasture
432,sky_blue,pose3,basic,none,wasabi
433,bling,pose3,dissatisfaction,apple_watch,wasabi
434,sky_blue,pose3,break,none,crown
435,bling,pose3,laugh,apple_watch,mustard
436,bling,pose3,basic,fork,mayonnaise
437,beach,pose3,laugh,apple_watch,mustard
438,beach,pose3,dissatisfaction,phone,wasabi
439,pink,pose3,sunglasses,apple_watch,soy_sauce
440,mint,pose3,absurd,fork,stick
441,pink,pose3,sunglasses,fork,wasabi
442,under_the_sea,pose3,glasses,apple_watch,mustard
443,sky_blue,pose3,glasses,apple_watch,stick
444,mint,pose3,break,apple_watch,pasture
445,beach,pose3,glasses,fork,crown
446,under_the_sea,pose3,surprised,gold_watch,stick
447,bling,pose3,stare,apple_watch,wasabi
448,beach,pose3,sunglasses,none,mustard
449,pink,pose3,dissatisfaction,apple_watch,soy_sauce
450,bling,pose3,laugh,none,pasture
451,beach,pose3,sunglasses,fork,stick
452,bling,pose3,anger,apple_watch,wasabi
453,mint,pose3,break,gold_watch,soy_sauce
454,mint,pose3,glasses,none,crown
455,mint,pose3,basic,fork,mustard
456,pink,pose3,dissatisfaction,none,ketchup
457,pink,pose3,basic,none,soy_sauce
458,sky_blue,pose3,basic,none,mustard
459,pink,pose3,laugh,none,stick
460,sky_blue,pose3,sunglasses,gold_watch,stick
461,pink,pose3,surprised,fork,ketchup
462,bling,pose3,sunglasses,fork,soy_sauce
463,pink,pose3,sunglasses,gold_watch,wasabi
464,under_the_sea,pose3,glasses,phone,mayonnaise
465,mint,pose3,surprised,apple_watch,mayonnaise
466,mint,pose3,basic,apple_watch,pasture
467,under_the_sea,pose3,laugh,apple_watch,ketchup
468,mint,pose3,surprised,apple_watch,stick
469,bling,pose3,absurd,apple_watch,soy_sauce
470,under_the_sea,pose3,laugh,apple_watch,stick
471,under_the_sea,pose3,anger,phone,crown
472,mint,pose3,basic,none,ketchup
473,sky_blue,pose3,stare,gold_watch,crown
474,beach,pose3,stare,none,stick
475,pink,pose3,absurd,fork,soy_sauce
476,under_the_sea,pose3,sunglasses,gold_watch,ketchup
477,bling,pose3,glasses,apple_watch,crown
478,mint,pose3,sunglasses,gold_watch,mayonnaise
479,beach,pose3,basic,phone,ketchup
480,mint,pose3,glasses,none,mayonnaise
481,beach,pose3,surprised,gold_watch,mustard
482,sky_blue,pose3,break,fork,mustard
483,under_the_sea,pose3,laugh,none,mustard
484,bling,pose3,anger,fork,stick
485,sky_blue,pose3,break,phone,pasture
486,pink,pose3,dissatisfaction,apple_watch,ketchup
487,beach,pose3,dissatisfaction,none,ketchup
488,sky_blue,pose3,break,fork,wasabi
489,beach,pose3,laugh,gold_watch,stick
490,mint,pose3,absurd,none,mustard
491,mint,pose3,stare,none,mayonnaise
492,pink,pose3,absurd,phone,pasture
493,under_the_sea,pose3,glasses,phone,pasture
494,beach,pose3,laugh,fork,pasture
495,mint,pose3,basic,gold_watch,mayonnaise
496,beach,pose3,absurd,none,stick
497,pink,pose3,laugh,apple_watch,mustard
498,beach,pose3,surprised,phone,crown
499,sky_blue,pose3,sunglasses,fork,ketchup
500,under_the_sea,pose3,basic,none,pasture
501,beach,pose3,stare,phone,pasture
502,mint,pose3,stare,phone,mustard
503,beach,pose3,stare,apple_watch,pasture
504,under_the_sea,pose3,laugh,phone,mayonnaise
505,bling,pose3,anger,gold_watch,mayonnaise
506,pink,pose3,sunglasses,apple_watch,stick
507,under_the_sea,pose3,dissatisfaction,gold_watch,wasabi
508,sky_blue,pose3,break,none,mayonnaise
509,sky_blue,pose3,break,apple_watch,mustard
510,mint,pose3,absurd,gold_watch,pasture
511,bling,pose3,surprised,apple_watch,soy_sauce
512,under_the_sea,pose3,glasses,none,soy_sauce
513,beach,pose3,absurd,gold_watch,ketchup
514,sky_blue,pose3,basic,gold_watch,soy_sauce
515,beach,pose3,sunglasses,none,crown
516,bling,pose3,absurd,apple_watch,ketchup
517,under_the_sea,pose3,laugh,apple_watch,mayonnaise
518,under_the_sea,pose3,surprised,fork,mustard
519,sky_blue,pose3,anger,phone,mustard
520,beach,pose3,basic,gold_watch,mayonnaise
521,under_the_sea,pose3,absurd,fork,wasabi
522,sky_blue,pose3,stare,phone,stick
523,beach,pose3,laugh,apple_watch,pasture
524,mint,pose3,anger,none,crown
525,beach,pose3,laugh,none,soy_sauce
526,under_the_sea,pose3,basic,apple_watch,pasture
527,bling,pose3,dissatisfaction,phone,soy_sauce
528,mint,pose3,stare,gold_watch,pasture
529,sky_blue,pose3,anger,apple_watch,stick
530,under_the_sea,pose3,absurd,gold_watch,crown
531,under_the_sea,pose3,absurd,phone,wasabi
532,under_the_sea,pose3,basic,none,mayonnaise
533,bling,pose3,basic,gold_watch,ketchup
534,pink,pose3,stare,none,pasture
535,under_the_sea,pose3,surprised,none,pasture
536,mint,pose3,stare,none,wasabi
537,bling,pose3,absurd,fork,crown
538,bling,pose3,basic,apple_watch,ketchup
539,sky_blue,pose3,surprised,fork,mayonnaise
540,mint,pose3,dissatisfaction,fork,mayonnaise
541,mint,pose3,laugh,phone,soy_sauce
542,bling,pose3,stare,phone,wasabi
543,pink,pose3,dissatisfaction,gold_watch,crown
544,bling,pose3,anger,apple_watch,pasture
545,sky_blue,pose3,glasses,apple_watch,crown
546,beach,pose3,dissatisfaction,apple_watch,ketchup
547,beach,pose3,dissatisfaction,none,mustard
548,sky_blue,pose3,dissatisfaction,apple_watch,stick
549,mint,pose3,laugh,phone,mayonnaise
550,beach,pose3,absurd,apple_watch,mustard
551,sky_blue,pose3,sunglasses,none,wasabi
552,pink,pose3,stare,apple_watch,stick
553,sky_blue,pose3,surprised,gold_watch,ketchup
554,under_the_sea,pose3,absurd,apple_watch,soy_sauce
555,pink,pose3,absurd,fork,mustard
556,pink,pose3,break,fork,ketchup
557,pink,pose3,anger,fork,crown
558,pink,pose3,sunglasses,phone,wasabi
559,mint,pose3,glasses,none,pasture
560,beach,pose3,sunglasses,gold_watch,pasture
561,under_the_sea,pose3,stare,fork,mustard
562,bling,pose3,dissatisfaction,fork,soy_sauce
563,bling,pose3,dissatisfaction,phone,ketchup
564,pink,pose3,laugh,apple_watch,crown
565,bling,pose3,dissatisfaction,none,mayonnaise
566,under_the_sea,pose3,stare,phone,mayonnaise
567,mint,pose3,laugh,apple_watch,crown
568,bling,pose3,anger,fork,mayonnaise
569,beach,pose3,absurd,none,wasabi
570,bling,pose3,stare,apple_watch,pasture
571,beach,pose3,break,gold_watch,pasture
572,mint,pose3,absurd,fork,crown
573,bling,pose3,glasses,gold_watch,mayonnaise
574,pink,pose3,break,gold_watch,mayonnaise
575,beach,pose3,absurd,phone,wasabi
576,pink,pose3,break,phone,mustard
577,under_the_sea,pose3,break,none,mustard
578,sky_blue,pose3,break,fork,ketchup
579,under_the_sea,pose3,sunglasses,phone,pasture
580,sky_blue,pose3,break,phone,crown
581,beach,pose3,absurd,fork,pasture
582,bling,pose3,basic,phone,crown
583,beach,pose3,surprised,fork,ketchup
584,beach,pose3,laugh,gold_watch,ketchup
585,pink,pose3,glasses,phone,soy_sauce
586,beach,pose3,basic,gold_watch,ketchup
587,beach,pose3,anger,none,crown
588,bling,pose3,glasses,apple_watch,ketchup
589,beach,pose3,basic,phone,stick
590,pink,pose3,stare,fork,soy_sauce
591,pink,pose3,laugh,phone,pasture
592,under_the_sea,pose3,dissatisfaction,phone,soy_sauce
593,bling,pose3,break,gold_watch,wasabi
594,beach,pose3,break,phone,mayonnaise
595,bling,pose3,glasses,phone,soy_sauce
596,beach,pose3,sunglasses,phone,pasture
597,sky_blue,pose3,glasses,none,wasabi
598,pink,pose3,laugh,fork,mayonnaise
599,pink,pose3,sunglasses,fork,pasture
600,pink,pose3,sunglasses,apple_watch,mayonnaise
601,bling,pose3,glasses,fork,pasture
602,beach,pose3,stare,none,pasture
603,bling,pose3,anger,apple_watch,soy_sauce
604,mint,pose3,absurd,gold_watch,ketchup
605,bling,pose3,dissatisfaction,phone,mustard
606,mint,pose3,absurd,none,crown
607,mint,pose3,glasses,apple_watch,stick
